1558807138.500026213 10 -nan -nan 2.42092e-322
1558807138.641835038 7.61785 10 10 4.14274e-320
1558807138.790258920 7.76057 10 10 1.8231e-321
1558807138.928253027 8.0405 10 10 2.21835e-321
1558807139.070187077 2.30995 5.03838 6.59245 1.63042e-322
1558807139.213420279 2.30995 5.03838 6.59245 1.8231e-321
1558807139.357448753 2.30995 5.03838 6.59245 1.63042e-322
1558807139.498872402 2.30995 5.03838 6.59245 1.63042e-322
1558807139.642227081 2.80041 5.03838 4.71617 2.42092e-322
1558807139.785205472 2.80041 5.03838 4.71617 1.8231e-321
1558807139.938340912 2.79984 5.03908 4.71617 2.42092e-322
1558807140.084726586 2.79873 5.03955 4.71617 1.8231e-321
1558807140.317199511 3.32665 6.41434 6.54593 2.42092e-322
1558807140.356314135 3.32681 6.4145 6.54593 2.42092e-322
1558807140.500066524 3.32733 6.41506 6.54593 1.8231e-321
1558807140.642435593 3.32828 6.41608 6.54593 1.8231e-321
1558807140.786788687 3.32964 6.41754 6.54593 1.63042e-322
1558807140.928344887 3.33147 6.4195 6.54593 2.42092e-322
1558807141.074510147 3.33372 6.42192 6.54593 2.42092e-322
1558807141.266544962 3.08799 6.27011 5.97671 3.21143e-322
1558807141.362472040 3.09272 6.2752 5.97671 2.42092e-322
1558807141.499178234 3.09802 6.28091 5.97671 2.42092e-322
1558807141.642904059 3.1041 6.28745 5.97671 1.8231e-321
1558807141.785354878 3.11077 6.29464 5.97671 2.42092e-322
1558807141.928807016 3.11732 6.30169 5.97671 2.42092e-322
1558807142.072333893 3.12421 6.30911 5.97671 2.42092e-322
1558807142.252317611 1.78967 5.64223 5.60041 1.8231e-321
1558807142.366246428 1.79788 5.65081 5.60041 1.63042e-322
1558807142.499713672 1.80667 5.66 5.60041 1.8231e-321
1558807142.641664577 1.8171 5.6709 5.60041 2.42092e-322
1558807142.785449166 1.828 5.68229 5.60041 1.8231e-321
1558807142.927623840 1.83947 5.69429 5.60041 7.16395e-322
1558807143.070253971 1.85206 5.70745 5.60041 1.3488e-321
1558807143.213111536 1.86561 5.72161 5.60041 2.42092e-322
1558807143.462892679 2.19695 5.76884 4.29492 1.8231e-321
1558807143.499105257 2.20257 5.7746 4.29492 1.8231e-321
1558807143.644494426 2.20968 5.78161 4.29492 1.8231e-321
1558807143.785135770 2.21704 5.78978 4.29492 1.63042e-322
1558807143.929364072 2.22468 5.79823 4.29492 2.42092e-322
1558807144.073335997 2.23078 5.80574 4.29492 2.42092e-322
1558807144.214238997 2.23596 5.81323 4.29492 1.63042e-322
1558807144.463470749 2.25986 5.19665 4.88874 3.21143e-322
1558807144.498580109 2.26549 5.20458 4.88874 1.8231e-321
1558807144.642668934 2.27245 5.21403 4.88874 1.63042e-322
1558807144.788567211 2.28112 5.22537 4.88874 1.8231e-321
1558807144.928004465 2.28787 5.23417 4.88874 3.21143e-322
1558807145.072939010 2.29494 5.24329 4.88874 1.8231e-321
1558807145.214816508 2.303 5.25358 4.88874 2.42092e-322
1558807145.357318494 2.31042 5.26495 4.88874 1.8231e-321
1558807145.499595027 2.31775 5.27725 4.88874 1.8231e-321
1558807145.680468481 1.47744 2.86028 3.93037 1.63042e-322
1558807145.791221011 1.48001 2.86314 3.93037 1.8231e-321
1558807145.927569871 1.48364 2.86783 3.93037 1.8231e-321
1558807146.082148295 1.48865 2.87487 3.93037 1.8231e-321
1558807146.220949522 1.49483 2.88388 3.93037 2.42092e-322
1558807146.362933427 1.502 2.89457 3.93037 1.8231e-321
1558807146.508119602 1.51007 2.90682 3.93037 2.42092e-322
1558807146.720678885 1.28335 2.73221 4.30857 2.42092e-322
1558807146.796959901 1.29488 2.75289 4.30857 2.42092e-322
1558807146.934831794 1.30642 2.77388 4.30857 1.8231e-321
1558807147.084218671 1.31874 2.79632 4.30857 1.8231e-321
